具体地点,职位名称,工资,福利tag,公司名称,公司标签,其他标签,岗位要求,是否为推广,会员商家,发布时间,抓取时间,平台,浏览人数,申请人数,招聘人数,公司人数,学历限制,经验限制,工作地址,职位描述,公司介绍,公司行业,认证类别,公司招聘职位总数,公司类别
东城 | 北京站,【北京站】保安内保坐岗月休包吃住,3600-6000元/月,加班费|宿舍空调|宿舍热水|宿舍|24小时热水|加班补助|年底双薪|包住|包吃|,北京蓝剑保安服务有限公司,,,经验不限 · 学历不限 · 招20人,,,,2025/04/02 11:55:01,赶集,,,招20人,1000人以上,学历不限,经验不限,北京东城北京站,"1、年龄18-50周岁身高160cm以上,有无经验均可。2、身体健康，无不良前科，积极向上者。3、退伍军人优先，应届生，农村城镇待业青年，下岗职工等。二、福利待遇1、薪资待遇:8-12个小时，3500-6000元月按时发放不拖欠工资2、24小时热水，冬夏均有空调，工作简单轻松3、宿舍2-4人间有wi-fi可洗澡伙食，标准餐4、业余活动时间充足可上网5、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品。三、入职手续:1、持本人身份有效证件(不扣押证件)为新员工签订正规劳动合同。2、公司承诺入职到离职不收取任何费用及押金，以上职务为公司直招当天办理入职安排食宿。四、工作地点:北京市各个城区均有不同项目，可根据个人意愿就近分配工作，如有环境不适应可申请调换。本次招聘各项目安保，不收取任何费用欢迎来访!北京保安公司直招包吃包住服装被褥免费发放不收取任何费用，到位置就能安排入职。","北京蓝剑保安服务有限公司,成立日期:2022年01月13日,创建于北京市,经营范围:门卫、巡逻、守护；建设工程设计；货物进出口；进出口代理；技术进出口；机动车公共停车场服务；安全防护系统集成；汽车租赁（不含九座以上客车）；承办展览展示活动；技术开发；技术咨询；技术转让；技术服务；组织文化艺术交流活动（不含营业性演出）；家庭劳务服务；经济贸易咨询；企业管理；企业策划；市场调查；保洁服务；家庭服务；装卸搬运和仓储业；租赁机械设备；物业管理；汽车装饰（不含洗车服务）；摄影服务；销售通讯设备、计算机软件及辅助设备、电子产品、机械设备、服装、安全技术防范产品。（市场主体依法自主选择经营项目，开展经营活动；建设工程设计、货物进出口、进出口代理、技术进出口以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市平谷区平谷镇新平东路7号1号楼四层;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
朝阳 | 北苑,商场巡逻保安三餐自助环境好,4000-6000元/月,加班费|餐补|环境好|人性化管理|交通补助|饭补|周末双休|年底双薪|加班补助|包住|包吃|,北京京卫圣明保安服务有限公司,,,经验不限 · 学历不限 · 招10人,,,,2025/04/02 11:55:03,赶集,,,招10人,1000人以上,学历不限,经验不限,北京朝阳龙湖北京北苑天街中国铁建广场店北京市朝阳区北苑东路19号院,面向全国招聘保安，公司规模强大在北京各区都有岗位，可以给您就近安排岗位。公司给大家解决后顾之忧，入职当天即可安排食宿，来了就能上班不用培训！请广大求职者放心投简历或者点击微聊详细咨询。入职要求：18-55周岁，身高165以上，无前科纹身，身体健康，精神正常即可！公司经营项目：小区，学校，商场，酒店，园区，大厦，写字楼，企业，单位，工地，公园，景区，公交车保安等等求职者可以根据自己的身高年龄自由的选择岗位！所有的岗位全部包吃包住，包服装被褥，正规公司招聘，全程不收任何费用，不压证件，开支准时。凡是在本公司入职满7天可预支薪资。公司量才而用工作认真负责有能力的队员可提升班长，队长，项目经理。期待有识之士您的加入！友情提示：现在招工单位比较多，但其中有很多中介公司，找工作的亲人们，不要相信高工资，收取费用的单位，高工资就是为了吸引您的眼球，一定要擦亮双眼找正规有保障的公司。不要被高薪所迷惑，谨防上当受骗!,北京京卫圣明保安服务有限公司曾先后获得“集体三等功”、“先进单位”、“先进集体”、“优秀团体”、“优秀营业部”等奖项。先后为北京市昌平区东小口北京市昌平区史各庄街道办事处、北京市昌平区龙泽园街道办事处、北京中关村医药投资发展有限公司、北京新龙天宇物业管理有限公司、北京市北店嘉园物业管理有限公司、北京九欣物业管理有限公司、北京商建物业管理中心、乐生活智慧社区服务集团股份有限公司、首都师范大学附属育新学校、北京市昌平区农家使用技能培训学校、北京市海淀区京童未来上庄幼儿园等单位、物业服务单位、学校等提供安保服务，并于2012年度、2014年度、2015年度、2016年度分别荣获“先进集体奖”等。,其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
朝阳 | 朝外大街,奶粉销售能月入2万,10000-20000元/月,不用坐班|工作时间自由|,北京奇普斯达科技有限公司,,,经验不限 · 本科以上学历 · 招100人,推广广告,,,2025/04/02 11:54:24,赶集,,,招100人,1-49人,本科以上学历,经验不限,北京朝阳朝外SOHO-B座3楼3065,岗位职责1.负责奶粉产品的市场推广与销售工作；2.开拓并维护客户关系，提高客户满意度和忠诚度；3.定期拜访客户，了解客户需求，提供专业的产品咨询和服务；4.收集市场信息，分析竞争对手情况，制定有效的销售策略。任职要求1.本科及以上学历，市场营销、工商管理等相关专业优先；2.至少1-2年的销售工作经验，具有奶粉产品销售经验者优先；3.具备良好的沟通能力和谈判技巧，能够独立完成销售任务；4.熟练使用办公软件，具备一定的数据分析能力；5.适应出差，能承受一定的工作压力。福利待遇1.提供具有竞争力的责任底薪+绩效奖金；2.提供专业的销售技能培训和职业发展机会；3.工作时间灵活，周末双休，法定节假日正常休息。,北京奇普斯达科技有限公司（英文名：Chipstar）于2024年3月在北京成立。公司创建之初就创立了品牌“创业芯舟”，并且基于芯片、人工智能、智慧农业三大方向打造了垂直领域的社交媒体矩阵和面向主体的创业孵化平台。创业芯舟的品牌宗旨是为科技工作者在创业的的道路上指明方向，为科技创业公司的发展增添活力，为国家实现科技强国梦助力。品牌使命是让每一颗国产芯片都能有的放矢，摆脱“昂贵的沙子”的宿命。品牌目标是通过提供以芯片、人工智能、智慧农业为核心的科技服务，打通三者之间的信息共享渠道，终实现科技成果转化。创业芯舟旗下社交媒体矩阵聚集了包括数字芯片、模拟芯片、自然语言处理、计算机视觉、数字乡村、自动驾驶、量子计算等领域的科学、技术、市场、产品、销售、招聘专家。通过定期组织线上线下主题交流活动，运营以微信公众号、视频号、知乎、知识星球、哔哩哔哩、抖音为主的自媒体平台，为成员提供有价值的行业信息和专业知识、与大咖面对面的交流机会，满足从工作到生活的社交需求，终帮助每一位成员达到自我提升的目的。创业芯舟旗下创业孵化平台通过打造技术、人才、服务、资本融合匹配的创新生态圈，搭建以需求为引导、创业者和企业为主体、市场为导向的供需对接平台，为主体提供人才寻访、市场推广、投融资等咨询服务，终促成科技成果转化、加速科技成果产业化，帮助主体实现社会与自我价值。创始人Yoyo拥有丰富的工作经验，曾供职于中天联科、瑞萨、三星和运营商，分别担任芯片应用工程师、芯片验证工程师、机器学习算法工程师以及智慧农业解决方案工程师。、211高校的她是一名非典型工科生，也是一名跨界达人。从本科到博士阶段，她的研究领域包含芯片、人工智能、智慧农业。凭借对科技成果转化的独到见解和热情，Yoyo联合身边志同道合的小伙伴创建了北京奇普斯达科创服务中心（英文名：Chipstar）。欢迎与我们一起扬帆起航。,批发/零售,"
                普通企业认证
              
                高级实名认证
              ",,
朝阳 | 朝外大街,【朝外大街】红酒销售代表,10000-20000元/月,不用坐班|工作时间自由|,北京奇普斯达科技有限公司,,,经验不限 · 大专以上学历，可接收应届生 · 招100人,推广广告,,,2025/04/02 11:54:26,赶集,,,招100人,1-49人,大专以上学历，可接收应届生,经验不限,北京朝阳朝外SOHO-B座3楼3065,岗位职责：负责红酒产品的市场推广与销售工作，维护现有客户关系并开发新客户资源；定期拜访客户，了解客户需求，提供专业的红酒产品解决方案；参加行业展会及各类促销活动，提升品牌知名度。任职要求：本科及以上学历，市场营销、国际贸易等相关专业优先；具备良好的沟通能力和谈判技巧，能够独立完成销售任务；有较强的市场分析能力，能够制定有效的销售策略；具有一定的红酒知识，了解红酒文化及市场趋势；有驾照者优先考虑。福利待遇：底薪+提成，具体提成比例根据业绩表现确定；享有年终奖、绩效奖金；提供完善的培训体系，帮助员工快速成长；办公地点位于市中心，交通便利；工作时间自由，不需要坐班,北京奇普斯达科技有限公司（英文名：Chipstar）于2024年3月在北京成立。公司创建之初就创立了品牌“创业芯舟”，并且基于芯片、人工智能、智慧农业三大方向打造了垂直领域的社交媒体矩阵和面向主体的创业孵化平台。创业芯舟的品牌宗旨是为科技工作者在创业的的道路上指明方向，为科技创业公司的发展增添活力，为国家实现科技强国梦助力。品牌使命是让每一颗国产芯片都能有的放矢，摆脱“昂贵的沙子”的宿命。品牌目标是通过提供以芯片、人工智能、智慧农业为核心的科技服务，打通三者之间的信息共享渠道，终实现科技成果转化。创业芯舟旗下社交媒体矩阵聚集了包括数字芯片、模拟芯片、自然语言处理、计算机视觉、数字乡村、自动驾驶、量子计算等领域的科学、技术、市场、产品、销售、招聘专家。通过定期组织线上线下主题交流活动，运营以微信公众号、视频号、知乎、知识星球、哔哩哔哩、抖音为主的自媒体平台，为成员提供有价值的行业信息和专业知识、与大咖面对面的交流机会，满足从工作到生活的社交需求，终帮助每一位成员达到自我提升的目的。创业芯舟旗下创业孵化平台通过打造技术、人才、服务、资本融合匹配的创新生态圈，搭建以需求为引导、创业者和企业为主体、市场为导向的供需对接平台，为主体提供人才寻访、市场推广、投融资等咨询服务，终促成科技成果转化、加速科技成果产业化，帮助主体实现社会与自我价值。创始人Yoyo拥有丰富的工作经验，曾供职于中天联科、瑞萨、三星和运营商，分别担任芯片应用工程师、芯片验证工程师、机器学习算法工程师以及智慧农业解决方案工程师。、211高校的她是一名非典型工科生，也是一名跨界达人。从本科到博士阶段，她的研究领域包含芯片、人工智能、智慧农业。凭借对科技成果转化的独到见解和热情，Yoyo联合身边志同道合的小伙伴创建了北京奇普斯达科创服务中心（英文名：Chipstar）。欢迎与我们一起扬帆起航。,批发/零售,"
                普通企业认证
              
                高级实名认证
              ",,
朝阳 | 惠新西街,会议中心保安坐岗吃自助六千条件好,5000-6000元/月,加班补助|交通补助|周末双休|年底双薪|包吃|包住|五险一金|,京卫圣明保总特保公司,,,经验不限 · 学历不限 · 招若干人,推广广告,,,2025/04/02 11:54:28,赶集,,,招若干人,1000人以上,学历不限,经验不限,北京朝阳惠新西街33号,"工作内容：郑重声明：本公司内部直招，不收取任何费用，欢迎广大的求职者，有意者可直接投递简历，会尽快给您回复一、工作地点：北京市各个城区均有不同项目，项目包括国企事业单位，巡防，写字楼，大厦，商超，医院，公交，医院，学校，景区等多个项目单位，可根据个人意愿就近分配工作，如有环境不适应可申请调换。站坐结合岗，坐岗，巡逻岗，夜班岗，形象岗等北京各个区域都可安排上岗，当天面试就能安排住宿，第二天正式上岗，没有任何培训和试用期，干满10天可预支工资。二、任职资格：1、年龄18-50周岁；身高168cm以上,有无经验均可2、身体健康，无不良前科，积极向上者优先考虑。3、退伍军人优先，应届生，农村城镇待业青年，下岗职工等。三、福利待遇；工资按时发放，绝不拖欠工资1、保底工资：8-12个小时，4000-6000元月2、24小时热水，冬夏均有空调，工作简单轻松；3、宿舍；4-6人间有wi-fi可洗澡；伙食，标准餐；4、业余活动时间充足可上网、看电视；5、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品等。欢迎广大求职者来投简历","北京京卫圣明保安服务有限公司,成立日期:2015年07月27日,创建于北京市,企业注册地址:北京市昌平区北七家镇平西府村70号(供销社)5幢511",人力资源服务,"
                普通企业认证
              
                高级实名认证
              ",,
朝阳 | 姚家园,8小时夜班保安室内坐岗吃住在项目,4000-4300元/月,包住|交通补助|包吃|加班补助|,国盾卫士（北京）保安服务有限公司,,,经验不限 · 学历不限 · 招5人,推广广告,,,2025/04/02 11:54:31,赶集,,,招5人,1000人以上,学历不限,经验不限,北京朝阳九芝堂股份有限公司,"职位描述：有意者直接投简历，我会立马联系您，岗位很多当天安排！郑重声明：此职位直属公司内部直招，非中介机构；无任何费用，面试当天安排工作，包食宿。签订国家正式合同。因公司业务拓展，特面向社会公开。一、应聘条件：1、年龄18-45周岁；身高170cm以上,有无经验均可；2、无犯罪前科记录，，身体健康；3、退伍军人优先，应届生，农村城镇待业青年，下岗职工。二、工作待遇1、每天工作8小时、12小时不等（不同项目，不同工作时间）2、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品。3、工作满一年可享受带薪休假，凡在我公司工作10天者可以预支工资。三、职位描述：1、工资待遇：8小时或者12小时综合工资在4000-65002、基本岗是项目急缺岗位。根据个人岗位不同月收入不等。3、每月25号之前发放工资，绝不拖欠。4、工作能力强，个人能力强的的员工可提升管理层班长、队长。在标准工资上加薪500-1500元，奖金+补助，综合工资4500以上。5、表现优秀的队员不定期发放奖金，200元。6、公司项目多，不适应随时调换岗位。新项目诚聘有能力，有经验的班队长，有意者前来公司面试。",经营范围：门卫、巡逻、守护、安全检查、安全技术防范；劳务派遣（劳务派遣经营许可证有效期至2021年04月20日）；保洁服务；机动车停车场服务；物业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
西城 | 大栅栏,广场夜班坐岗保安4500,4000-5000元/月,五险一金|包住|交通补助|包吃|加班补助|,国盾卫士（北京）保安服务有限公司,,,经验不限 · 学历不限 · 招15人,,,,2025/04/02 11:54:33,赶集,,,招15人,1000人以上,学历不限,经验不限,北京市西城区杨威胡同与茶儿胡同交叉口东北50米,"工作内容：职位要求：意者直接投简历，我会立马联系您，岗位很多当天安排！郑重声明：此职位直属公司内部直招，非中介机构；无任何费用，面试当天安排工作，包食宿。签订国家正式合同。因公司业务拓展，特面向社会公开。一、应聘条件：1、年龄18-55周岁；身高165cm以上,有无经验均可；2、无犯罪前科记录，，身体健康；3、退伍军人优先，应届生，农村城镇待业青年，下岗职工。二、工作待遇1、每天工作8小时、12小时不等（不同项目，不同工作时间）2、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品。3、工作满一年可享受带薪休假，凡在我公司工作10天者可以预支工资。三、职位描述：1、工资待遇：8小时或者12小时综合工资在4000-60002、基本岗是项目急缺岗位。根据个人岗位不同月收入不等。3、每月25号之前发放工资，绝不拖欠。4、工作能力强，个人能力强的的员工可提升管理层班长、队长。在标准工资上加薪500-1500元，奖金+补助，综合工资4500以上。5、表现优秀的队员不定期发放奖金，200元。6、公司项目多，不适应随时调换岗位。新项目诚聘有能力，有经验的班队长，有意者前来公司面试。五、入职手续：1、持本人身份有效证件为新员工签订正规劳动合同。2、公司承诺入职到离职不收取任何费用及押金，以上职务为公司直招当天办理入职安排食宿，如遇没钱买生活用品的队员，入职7后可预支生活费。友情提示现在招工单位比较多，但其中有很多中介公司，找工作的亲人们，不要相信高工资，收取费用的单位，高工资就是为了吸取你的眼球，一定要擦亮眼睛找正规，有保障的公司，不要被高薪迷惑哦，谨防上当受骗，天下没有不劳而获的东西，脚踏实地的工作才会有收获。工作时间：",经营范围：门卫、巡逻、守护、安全检查、安全技术防范；劳务派遣（劳务派遣经营许可证有效期至2021年04月20日）；保洁服务；机动车停车场服务；物业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
丰台 | 丽泽桥,【丽泽桥】巡逻保安包吃,4500-5000元/月,包吃|包住|,北京诚德永信保安服务有限公司,,,经验不限 · 学历不限 · 招9人,,,,2025/04/02 11:54:35,赶集,,,招9人,100-499人,学历不限,经验不限,北京丰台晋商联合大厦,工作内容：街道巡视维持街道秩序街道共享单车摆放违规停车劝阻职位要求：年龄18-45周岁身高172以上无前科身体健康工作时间：12小时白夜班面试时间早8-晚5,北京诚德永信保安服务有限公司成立于2009年11月24日，注册地位于北京市丰台区西四环南路，法定代表人为尚拥军。经营范围包括技术服务、技术开发、技术咨询；机动车公共停车场管理服务；物业管理；保洁服务；会议服务；承办展览展示；组织文化艺术交流活动；仓储服务；销售电子产品、通讯器材、计算机软硬件及辅助设备、办公用品；门卫、巡逻、守护；人力资源服务。（市场主体依法自主选择经营项目，开展经营活动；人力资源服务；为劳动者介绍用人单位；为用人单位劳动者；为用人单位和个人提供职业介绍信息服务。以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。,其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
西城 | 西直门,直招星级酒店保安吃自助服装住4人间有休息,4500-6000元/月,加班费|宿舍空调|餐补|宿舍热水|宿舍|24小时热水|就近分配|饭补|加班补助|交通补助|周末双休|年底双薪|包吃|包住|五险一金|,京卫圣明保总特保公司,,,经验不限 · 学历不限 · 招若干人,推广广告,,,2025/04/02 11:53:54,赶集,,,招若干人,1000人以上,学历不限,经验不限,北京西城中坤大厦,"郑重声明：本公司内部直招，不收取任何费用，欢迎广大的求职者，有意者可直接投递简历，会尽快给您回复一、工作地点：北京市各个城区均有不同项目，项目包括国企事业单位，巡防，写字楼，大厦，商超，医院，公交，医院，学校，景区等多个项目单位，可根据个人意愿就近分配工作，如有环境不适应可申请调换。站坐结合岗，坐岗，巡逻岗，夜班岗，形象岗等北京各个区域都可安排上岗，当天面试就能安排住宿，第二天正式上岗，没有任何培训和试用期，干满一周可预支工资。二、任职资格：1、年龄18-50周岁；身高168cm以上,有无经验均可2、身体健康，无不良前科，积极向上者优先考虑。3、退伍军人优先，应届生，农村城镇待业青年，下岗职工等。三、福利待遇；工资按时发放，绝不拖欠工资1、保底工资：8-12个小时，3500-6000元月+奖金+补助，2、24小时热水，冬夏均有空调，工作简单轻松；3、宿舍；4-6人间有wi-fi可洗澡；伙食，标准餐；4、业余活动时间充足可上网、看电视；5、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品等。欢迎广大求职者来投简历注:未成年勿扰未成年勿扰","北京京卫圣明保安服务有限公司,成立日期:2015年07月27日,创建于北京市,企业注册地址:北京市昌平区北七家镇平西府村70号(供销社)5幢511",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
朝阳 | 朝外大街,奥林匹克公园保安坐岗室内吃自助双休五千,4500-6000元/月,加班费|住宿补贴|餐补|房补|话补|饭补|加班补助|交通补助|周末双休|年底双薪|包吃|包住|五险一金|,京卫圣明保总特保公司,,,经验不限 · 学历不限 · 招若干人,推广广告,,,2025/04/02 11:53:56,赶集,,,招若干人,1000人以上,学历不限,经验不限,北京朝阳北京市朝阳区人民政府,"有意者直接投简历，我会立马联系您，岗位很多当天安排！郑重声明：此职位直属公司内部直招，非中介机构；无任何费用，面试当天安排工作，包食宿。签订国家正式合同。因公司业务拓展，特面向社会公开。一、应聘条件：1、年龄18-45周岁；身高168cm以上,有无经验均可；2、无犯罪前科记录，，身体健康；3、退伍军人优先，应届生，农村城镇待业青年，下岗职工。二、工作待遇1、每天工作8小时、12小时不等（不同项目，不同工作时间）2、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品。3、工作满一年可享受带薪休假，凡在我公司工作10天者可以预支工资。三、职位描述：1、工资待遇：8小时或者12小时综合工资在4000-65002、基本岗是项目急缺岗位。根据个人岗位不同月收入不等。3、每月25号之前发放工资，绝不拖欠。4、工作能力强，个人能力强的的员工可提升管理层班长、队长。在标准工资上加薪500-1500元，奖金+补助，综合工资4500以上。5、表现优秀的队员不定期发放奖金，200元。6、公司项目多，不适应随时调换岗位。新项目诚聘有能力，有经验的班队长，有意者前来公司面试。五、入职手续：1、持本人身份有效证件为新员工签订正规劳动合同。2、公司承诺入职到离职不收取任何费用及押金，以上职务为公司直招当天办理入职安排食宿，如遇没钱买生活用品的队员，入职7后可预支生活费。友情提示现在招工单位比较多，但其中有很多中介公司，找工作的亲人们，不要相信高工资，收取费用的单位，高工资就是为了吸取你的眼球，一定要擦亮眼睛找正规，有保障的公司，不要被高薪迷惑哦，谨防上当受骗，天下没有不劳而获的东西，脚踏实地的工作才会有收获。","北京京卫圣明保安服务有限公司保总特公司,成立日期:2023年12月20日,创建于北京市,经营范围:许可项目：保安服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：物业管理；家政服务；专业保洁、清洗、消毒服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,企业注册地址:北京市昌平区北七家镇王府温馨公寓37号楼1层2;诚挚邀请您的加入！",其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
通州 | 中仓,国企室内坐岗保安吃住环境好4.5k,4000-5500元/月,加班费|环境好|包住|交通补助|包吃|加班补助|,国盾卫士（北京）保安服务有限公司,,,经验不限 · 学历不限，可接收应届生 · 招5人,推广广告,,,2025/04/02 11:53:58,赶集,,,招5人,1000人以上,学历不限，可接收应届生,经验不限,北京通州中国北京人力资源服务产业园通州园区,"职位描述：有意者直接投简历，我会立马联系您，岗位很多当天安排！郑重声明：此职位直属公司内部直招，非中介机构；无任何费用，面试当天安排工作，包食宿。签订国家正式合同。因公司业务拓展，特面向社会公开。一、应聘条件：1、年龄18-45周岁；身高170cm以上,有无经验均可；2、无犯罪前科记录，，身体健康；3、退伍军人优先，应届生，农村城镇待业青年，下岗职工。二、工作待遇1、每天工作8小时、12小时不等（不同项目，不同工作时间）2、免费提供食宿，四季衣服，被褥，劳保用品，无线网，防暑降温食品及用品。3、工作满一年可享受带薪休假，凡在我公司工作10天者可以预支工资。三、职位描述：1、工资待遇：8小时或者12小时综合工资在4000-65002、基本岗是项目急缺岗位。根据个人岗位不同月收入不等。3、每月25号之前发放工资，绝不拖欠。4、工作能力强，个人能力强的的员工可提升管理层班长、队长。在标准工资上加薪500-1500元，奖金+补助，综合工资4500以上。5、表现优秀的队员不定期发放奖金，200元。6、公司项目多，不适应随时调换岗位。新项目诚聘有能力，有经验的班队长，有意者前来公司面试。",经营范围：门卫、巡逻、守护、安全检查、安全技术防范；劳务派遣（劳务派遣经营许可证有效期至2021年04月20日）；保洁服务；机动车停车场服务；物业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
大兴 | 亦庄,吃自助环境好巡逻岗保安5-6k,4000-6000元/月,加班费|宿舍空调|宿舍热水|24小时热水|宿舍|环境好|包吃包住|包住|交通补助|包吃|加班补助|,国盾卫士（北京）保安服务有限公司,,,经验不限 · 学历不限 · 招10人,推广广告,,,2025/04/02 11:54:01,赶集,,,招10人,1000人以上,学历不限,经验不限,北京大兴大兴区亦庄,职位详情包吃包住，长期短期保安薪资待遇4000-6000不等面试当天安排住宿，第二天就能上班18-55岁，站岗，坐岗，车场巡逻岗宿舍环境好，荤素搭配，三菜一汤宿舍设备齐全，24小时热水，洗衣机，空调服装被褥免费发放，不收取任何费用岗位分布：学校（中小学大学）保安，园区保安，小区保安，企事业单位保安，写字楼大厦保安，医院保安，养老院保安等等，坐岗保安，夜班巡逻坐岗，白班形象岗站1休1，室内保安，懒人岗等等,经营范围：门卫、巡逻、守护、安全检查、安全技术防范；劳务派遣（劳务派遣经营许可证有效期至2021年04月20日）；保洁服务；机动车停车场服务；物业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
通州,招通州大龄保安一名,3200-3300元/月,交通补助|交通便利|团队气氛佳|,北京诚德永信保安服务有限公司,,,经验不限 · 学历不限 · 招1人,推广广告,,,2025/04/02 11:54:03,赶集,,,招1人,100-499人,学历不限,经验不限,北京通州胡郎路与武兴路交叉口,59岁以下通州银行保安职位要求：59周岁以下，身高165以上，无纹身无犯罪前科，身体健康无病史，会写字时间待遇：3200交通补助，不管吃住，可以回家住工作地点通州甘棠邮政银行不招兼职，短期,北京诚德永信保安服务有限公司成立于2009年11月24日，注册地位于北京市丰台区西四环南路46号，法定代表人为尚拥军。经营范围包括技术服务、技术开发、技术咨询；机动车公共停车场管理服务；物业管理；保洁服务；会议服务；承办展览展示；组织文化艺术交流活动；仓储服务；销售电子产品、通讯器材、计算机软硬件及辅助设备、办公用品；门卫、巡逻、守护；人力资源服务。（市场主体依法自主选择经营项目，开展经营活动；人力资源服务；为劳动者介绍用人单位；为用人单位劳动者；为用人单位和个人 职业介绍信息服务。以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,人力资源服务+政府/非盈利机构,"
                普通企业认证
              
                高级实名认证
              ",,
丰台 | 马家堡,【马家堡】业务销售员餐补,8000-13000元/月,餐补|包住|,北京万太快通健康科技有限公司,,,1-2年 · 学历不限 · 招5人,,,,2025/04/02 11:54:05,赶集,,,招5人,1-49人,学历不限,1-2年,北京丰台西马金润家园二区-23号楼,工作内容1，制定会议营销目标，提高销售业绩，达到销售目标2，负责客户的开发，拜访，沟通，客情维系和协调监督3，做好会前顾客邀约，会后顾客维护和指导工作4，听从指挥，完成上级交办的其他工作；5，有超市、家具、健康产品销售经验者优先，熟悉销售运作流程6，服从公司安排，身体健康，史7，正直，诚实，勤奋，能够吃苦耐劳，具备团队合作精神8，良好的职业素质和敬业精神福利待遇1.试用期内工资4500，老员工一带一帮带2.工作内容简单，客户容易沟通，工作氛围好3.晋升空间大。4.管住宿任职要求：是有过医疗会销社群保健品等销售经验者优先录取,老板使用58APP商家版发布该职位，招人的诚意大到无需描述，赶快来应聘吧。,其他行业,"
                普通企业认证
              
                高级实名认证
              ",,
