具体地点,职位名称,工资,福利tag,公司名称,公司标签,其他标签,岗位要求,是否为推广,会员商家,发布时间,抓取时间,平台
北京·通州区·宋庄,普工技工,4.5-7.5K,工作餐免费月结工资4人间宿舍三班倒缴纳商保,北京天启瑞华文化传媒,广告/公关/会展|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·密云区·密云县县城,普工/操作工,5-6K,三餐免费缴纳社保坐班月结工资两班倒读写26个字母住宿免费,昌裕劳务服务,人力资源服务|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·海淀区·上地,普工/操作工,5-6K,五险一金，定期体检，加班补助，节日福利，全勤奖，年终奖，带薪年假，补充医疗保险，员工旅游，通讯补贴，股票期权，交通补助,卡姆福,其他行业|未融资|20-99人,,1年以内|中专/中技,,,,2025/02/19 10:37:05,boss
北京,招聘普工,6-7K,,北京泰富兴诚商贸,批发/零售|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·朝阳区·双桥,管吃住招广告普工及学徒,5-6K,周末单休加班费带薪年假包吃包住绩效奖金夜班补助节假日加班费普工,双龙堂喷绘,广告营销|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·大兴区·亦庄,普通工人,5-6K,,北京畅联云网络科技,日化|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·通州区·马驹桥,连华科技招聘普工/操作工,150-160元/天,"普工兼职
五险一金，年终奖，定期体检，员工旅游，带薪年假，全勤奖，通讯补贴，补充医疗保险，节日福利，餐补，交通补助，零食下午茶，防暑降温",连华科技,环保|不需要融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:05,boss
北京·朝阳区·劲松,普工/操作工,4-6K,"珠串挑选珠串抛光
年终奖，加班补助，定期体检，股票期权，五险一金，带薪年假，员工旅游，零食下午茶，餐补",菩悦东方,工艺品/收藏品|未融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·通州区·次渠,普工，清洗油烟机,7-8K,能接受夜班,浩可环保,环保|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·海淀区·中关村,普工/操作工,5-7K,"月结工资缴纳商保月休四天不穿无尘服三餐免费住宿免费水电免费
补充医疗保险，加班补助，住房补贴，年终奖，带薪年假，全勤奖，节日福利，餐补",聚优佳信,广告/公关/会展|不需要融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·房山区·良乡,普工/操作工,4-4.5K,三餐免费2人间宿舍车间流水线长白班月结工资,华盛祥,物流/仓储|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·霍营,普工/操作工,4-5.5K,住宿免费有空调水电免费做六休一月休四天月结工资,北京英坤嘉业科技,计算机硬件|0-20人,,经验不限|高中,,,,2025/02/19 10:37:06,boss
北京,食品厂车间普工,5-6K,三餐免费厂内食堂4人间宿舍住宿免费夫妻房缴纳社保恒温车间车间流水线需穿无尘服长白班月结工资,北京稻味庄食品有...,食品/饮料/烟酒|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·马池口,食品厂普工,4-5.5K,三餐免费住宿免费缴纳社保车间流水线月休四天月结工资,港田,原材料及加工/模具|20-99人,,1-3年|高中,,,,2025/02/19 10:37:06,boss
北京·怀柔区·桥梓,普工/操作工,2-7K,三餐免费厂内食堂住宿免费有WIFI水电免费不看显微镜长白班月结工资免体检包进,北京硕奥腾达装饰材料,批发/零售|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·小汤山,招聘普工,6-7.9K,三餐免费住宿免费,诺洁天下,家政服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·顺义区·李桥,服装厂普工,4.4-4.5K,,鸿正兴,其他生活服务|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·怀柔区·雁栖,普工/操作工,5.5-6.5K,厂内食堂工作餐免费缴纳社保车间流水线两班倒月结工资体检免费,华北富田,印刷/包装/造纸|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·石景山区·广宁,普工/操作工,5-7.5K,"缴纳社保不穿无尘服恒温车间车间流水线月结工资
五险一金，全勤奖",痕玉技艺,工艺品/收藏品|未融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·大兴区·亦庄,普工/操作工,4-5K,不看显微镜不穿无尘服坐班做六休一月结工资,富瑞诚测,仪器仪表/工业自动化|0-20人,,1-3年|初中及以下,,,,2025/02/19 10:37:06,boss
北京·昌平区·昌平镇,普工长期工,5-6K,做六休一长白班三餐免费具备售卖收银经营月结工资月休四天,北京徽徽徽丫小吃...,餐饮|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·顺义区·后沙峪,华兆基业招聘普工/操作工,5-8K,厂内食堂坐班恒温车间需穿无尘服做六休一长白班,华兆基业,原材料及加工/模具|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·通州区·新华大街,普工操作工球拍穿线师,4-8K,五险一金，全勤奖，年终奖,唯快运动商贸,电子商务|不需要融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·回龙观,电子厂招聘普工,5-7K,厂内食堂4-8人间宿舍缴纳商保车间流水线需穿无尘服两班倒月结工资,泓牧有限公司,电子/硬件开发|不需要融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·沙河,普工/操作工 叉车司机,4-6K,普工,北京顺达兴包装制品厂,电子商务|0-20人,,1年以内|学历不限,,,,2025/02/19 10:37:06,boss
北京,生产车间普工,5-6K,"有空调长白班三餐免费月结工资普工住宿免费读写26个字母免体检包进
保底工资，宿舍有空调，五险一金，包住，绩效奖金，团建聚餐，加班补助",北京群升北亦门业,原材料及加工/模具|不需要融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·小汤山,普工,3-5K,月结工资,北京华人,仪器仪表/工业自动化|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:06,boss
北京·通州区·马驹桥,北京绿色心雅商贸中心招聘普工/操作工,4-5K,午餐免费,北京绿色心雅商贸中心,批发/零售|0-20人,,1-3年|学历不限,,,,2025/02/19 10:37:06,boss
北京·昌平区·马池口,普工,4-5K,缴纳社保加班费8人间以上宿舍包吃包住宿舍有空调有餐补住宿免费午餐免费五险一金夜班补助免费培训意外险厂内食堂,海淀晶晶,其他生活服务|20-99人,,经验不限|中专/中技,,,,2025/02/19 10:37:06,boss
北京·通州区·马驹桥,普工/操作工,5-8K,夜班补助，法定节假日三薪，节假日加班费，加班补助,北京新庆翔,其他制造业|不需要融资|20-99人,,3-5年|中专/中技,,,,2025/02/19 10:37:06,boss
北京·顺义区·后沙峪,电子调试普工,4-7K,做五休二月结工资,博米科技,仪器仪表/工业自动化|未融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·大兴区·亦庄,普工,3-4K,缴纳社保做五休二,希格诺,交通/运输|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京,翊博生物招聘普工/操作工,5-7K,"缴纳社保坐班GMP车间月结工资有餐补
节假日加班费，包吃，员工旅游，定期体检，五险一金，绩效奖金，餐补，带薪年假",翊博生物,生物/制药|A轮|20-99人,,经验不限|大专,,,,2025/02/19 10:37:04,boss
北京·大兴区·亦庄,普工/操作工,3.5-4.5K,三餐免费厂内食堂住宿免费有WIFI有空调水电免费缴纳社保做六休一月结工资,创景模型,其他专业服务|0-20人,,1-3年|中专/中技,,,,2025/02/19 10:37:04,boss
北京·大兴区·亦庄,普工,5-6K,"工作餐免费
生日福利，节日福利，加班补助，员工旅游，定期体检，团建聚餐，带薪年假，底薪加提成，免费工装，法定节假日三薪，绩效奖金，洗衣福利待遇",布瑞琳,服装/纺织|未融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·东城区·安贞,普工/电焊工,7.5-7.9K,工作餐免费长白班月结工资体检免费,神舟龙行图片社,广告/公关/会展|未融资|0-20人,,3-5年|高中,,,,2025/02/19 10:37:04,boss
北京·朝阳区·王四营,普工 UV打印,5-8K,工作餐免费住宿免费有空调水电免费不看显微镜不穿无尘服车间流水线月结工资免体检包进,北京心明伟业,原材料及加工/模具|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·大兴区·采育开发区,普工,5-6K,厂内食堂两班倒,中铁兴华,物流/仓储|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·顺义区·后沙峪,印刷厂直聘晒包装晒版出版普工,4.5-5K,"有空调做六休一缴纳社保工作餐免费质检住宿免费读写26个字母包装工午餐免费长白班2人间宿舍操作工坐班月结工资晒版普工
包吃，加班补助，五险一金，全勤奖",北京市瑞祥印刷厂,印刷/包装/造纸|不需要融资|20-99人,,1-3年|初中及以下,,,,2025/02/19 10:37:04,boss
北京·顺义区·南彩,万集科技招聘普工/操作工,180-190元/天,"午餐免费厂内食堂坐班恒温车间车间流水线长白班周结工资
绩效奖金，交通补助，节日福利，股票期权，员工旅游，通讯补贴，餐补，带薪年假，团建聚餐，五险一金",万集科技,智能硬件|已上市|1000-9999人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·东城区·东四,普工/操作工,6.9-7K,长白班日结230元日结工资,众信创汇企业管理,其他制造业|0-20人,,1年以内|学历不限,,,,2025/02/19 10:37:04,boss
北京·昌平区·阳坊,普工,3-5K,包住，包吃,金惠永达,批发/零售|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·通州区·张家湾,普工/操作工,4.3-5.5K,"厂内食堂有餐补缴纳社保车间流水线需穿无尘服三班倒月结工资体检免费五险一金，轮休假，年休假
带薪年假，节日福利，餐补，年终奖，定期体检，通讯补贴，五险一金，交通补助",蒙牛乳业,其他行业|已上市|10000人以上,,经验不限|中专/中技,,,,2025/02/19 10:37:04,boss
北京·顺义区·仁和,招普工包吃住上五险不压资,7-8K,,北京斯通达人力资源,装卸搬运和仓储业|500-999人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京,普工/操作工,5-8K,包吃周末双休八小时工作制年底双薪全勤奖绩效奖金,铨连电子,智能硬件/消费电子|0-20人,,1年以内|高中,,,,2025/02/19 10:37:04,boss
北京,普工/操作工,4.5-5.5K,缴纳社保月结工资体检免费,神州华测,智能硬件|20-99人,,经验不限|中专/中技,,,,2025/02/19 10:37:04,boss
北京·大兴区·旧宫,普工/操作工/夜班兼职,4.8-6K,周结工资兼职,康众泰,家政服务|0-20人,,经验不限|初中及以下,,,,2025/02/19 10:37:04,boss
北京·通州区·张家湾,食品厂普工,4-6K,住宿免费月休四天月结工资三餐免费,北京美味阳光餐饮管理,食品/饮料/烟酒|20-99人,,经验不限|中专/中技,,,,2025/02/19 10:37:04,boss
北京·顺义区·后沙峪,普工/操作工,3.5-5.5K,需穿无尘服做六休一缴纳社保月结工资有餐补体检免费厂内食堂住宿免费,麒芯汇弘,通信/网络设备|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·大兴区·庞各庄,中奥力德招聘普工/操作工,6-8K,"加班费
不加班，年终奖，通讯补贴，带薪年假，生日福利",中奥力德,工程施工|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·顺义区·马坡,电子厂普工/操作工,5-7K,"有空调长白班坐班有餐补住宿免费恒温车间月休四天
夜班补助，餐补，全勤奖，加班补助，包住，绩效奖金",鸿翔电子,仪器仪表/工业自动化|不需要融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·大兴区·天宫院,普通工人,4-5K,"三餐免费住宿免费月休四天长白班月结工资体检免费
节日福利，包吃，宿舍有空调，有无线网，包住，意外险",北京鹏顺安达物流,交通/运输|0-20人,,1-3年|学历不限,,,,2025/02/19 10:37:04,boss
北京·怀柔区·雁栖,普工/操作工,5.8-6.8K,"工作餐免费缴纳社保车间流水线两班倒月结工资体检免费夜班补助年终奖高温补贴包吃加班费法定节假日三薪
五险一金，定期体检，节日福利，年终奖，员工旅游，通讯补贴，带薪年假",北京中富,食品/饮料/烟酒|已上市|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京,招聘普工,5-7K,工作餐免费4人间宿舍住宿免费有空调不看显微镜不穿无尘服恒温车间两班倒月结工资体检免费免体检包进有责任心 吃苦耐劳 有团队精神,嘉艺炫彩,广告/公关/会展|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·怀柔区·雁栖,中介公司招聘普工/操作工,6-7.1K,"4人间宿舍
加班补助，节日福利，免费班车，全勤奖，员工旅游，带薪年假，五险一金",东明,原材料及加工/模具|500-999人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·大兴区·西红门,招聘普工,4-6K,"住宿免费水电免费缴纳社保
意外险",北京万卉艺景园林...,农/林/牧/渔|20-99人,,1-3年|学历不限,,,,2025/02/19 10:37:04,boss
北京·顺义区·南彩,普工,5-8K,有空调2人间宿舍工作餐免费月结工资不穿无尘服两班倒体检免费缴纳商保,佩尔哲北京工厂,汽车研发/制造|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·怀柔区·雁栖,诚聘各岗位普工、操作工,6-7K,午餐免费4人间宿舍有空调缴纳商保不穿无尘服坐班恒温车间车间流水线两班倒长白班月结工资读写26个字母,北京升兴智能科技,其他制造业|1000-9999人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京,普工,6-7K,厂内食堂4人间宿舍长白班月结工资,北京叶子祺食品,其他生活服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:04,boss
北京·大兴区·黄村,普工/操作工,5-6K,缴纳社保,北京瑞贝可,其他消费品|0-20人,,经验不限|高中,,,,2025/02/19 10:37:05,boss
北京,普工,4.5-5.5K,有餐补4-8人间宿舍缴纳社保坐班月休四天月结工资读写26个字母,南兴益源防护设备,工程施工|20-99人,,1年以内|学历不限,,,,2025/02/19 10:37:02,boss
北京,生产普工,3.5-4.5K,午餐免费住宿免费车间流水线月结工资,梨源,印刷/包装/造纸|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·大厂回族自治县·孔雀城英国宫,普工 穿珠子 穿手串 有老师教,3-5K,工作餐免费住宿免费有WIFI有空调缴纳商保坐班做六休一月结工资,一合万景,珠宝/首饰|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·海淀区·万柳,普工,6-7.5K,三餐免费4-8人间宿舍缴纳社保不穿无尘服两班倒月结工资免体检包进,钰欣,批发/零售|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·丰台区·长辛店,普工/操作工,4.5-5K,保底工资,北京成伟顺食品,批发/零售|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·顺义区·南彩,普工长白班,6-8K,"做六休一长白班缴纳社保工作餐免费不看显微镜月结工资不穿无尘服体检免费车间流水线
有无线网，包吃，免费工装，绩效奖金，全勤奖，保底工资",北京鑫建华顺工贸,汽车零部件|未融资|20-99人,,1年以内|学历不限,,,,2025/02/19 10:37:02,boss
北京·顺义区·光明,电子厂普工,4-5K,厂内食堂4人间宿舍月结工资,北京德聚仁合环保,计算机/通信/其他电子设备|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·昌平区·东关,生产普工,4-6K,"做六休一缴纳社保月结工资4人间宿舍厂内食堂住宿免费
年终奖，带薪年假，免费班车，节日福利，五险一金，福利食堂",北京东华原,医疗健康|未融资|500-999人,,经验不限|大专,,,,2025/02/19 10:37:02,boss
北京·丰台区·花乡,普工/操作工,25-30元/时,,北京云霄霄商贸,批发/零售|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·通州区·马驹桥,电子厂普工,4-6K,不穿无尘服坐班长白班,必得客,仪器仪表/工业自动化|20-99人,,经验不限|初中及以下,,,,2025/02/19 10:37:02,boss
北京·丰台区·新发地,普工搬运工,6-8K,工作餐免费有餐补清真食堂夫妻房有WIFI有空调缴纳商保不穿无尘服三班倒月结工资体检免费免体检包进,北京鸣坤立雅商贸,交通/运输|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·顺义区·马坡,普工/操作工,4.2-6K,"组装普工电工
餐补",富拓科技,进出口贸易|未融资|0-20人,,1年以内|中专/中技,,,,2025/02/19 10:37:03,boss
北京·通州区·马驹桥,普工,5.5-8K,"长白班月结工资厂内食堂读写26个字母
生日福利，保底工资，节日福利，五险一金，高温补贴，带薪年假，绩效奖金",粹然电子,智能硬件/消费电子|不需要融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·朝阳区·王四营,京通顺商贸有限公司招聘配/理/拣/发货,7-8K,货物出库货物配送接受倒班配货打包,京通顺商贸有限公司,批发/零售|不需要融资|0-20人,,1年以内|高中,,,,2025/02/19 10:37:03,boss
北京,普通工人,4-6K,"有WIFI有空调恒温车间做五休二月结工资
餐补，免费工装，意外险，年终奖",北京孟氏利嘉模具设计,批发/零售|不需要融资|0-20人,,1-3年|中专/中技,,,,2025/02/19 10:37:03,boss
北京·朝阳区·潘家园,普工/学徒工,3-3.5K,做六休一,北京熊华标眼镜,其他生活服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·丰台区·木樨园,仓库普工,6-7K,年底奖金,北京舒桐商贸有限公司,批发/零售|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·顺义区·李桥,普工,5-8K,工作餐免费2人间宿舍有WIFI有空调缴纳商保做六休一周结工资体检免费,北京首达包装,印刷/包装/造纸|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·昌平区·小汤山,弱电工/普工/操作工,4-8K,"三餐免费4人间宿舍住宿免费有WIFI有空调水电免费缴纳社保做六休一月结工资体检免费
全勤奖，免费工装，工龄奖，宿舍有空调，包吃，五险一金，员工旅游，绩效奖金，带薪年假，生日福利，夜班补助，团建聚餐，包住，意外险，有无线网，节日福利",福星智能,电子/半导体/集成电路|不需要融资|20-99人,,3-5年|大专,,,,2025/02/19 10:37:03,boss
北京·朝阳区·高碑店,普工 操作工,4-6K,月结工资缴纳社保月休四天坐班住宿免费有空调有WIFI,北京芸熙万禾文化...,广告/公关/会展|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·昌平区·沙河,电子厂普工,4.5-6K,月结工资缴纳商保长白班坐班工作餐免费,中科都兴,电子/半导体/集成电路|未融资|20-99人,,1-3年|学历不限,,,,2025/02/19 10:37:03,boss
北京·通州区·马驹桥,信邦同安集团招聘普工/操作工,5-6K,"有餐补4-8人间宿舍有WIFI有空调缴纳社保长白班月结工资
夜班补助，节日福利，免费班车，免费工装，有无线网，住房补贴，工龄奖，五险一金，团建聚餐，意外险，节假日加班费，带薪年假，定期体检，绩效奖金，宿舍有空调，年终奖，加班补助，法定节假日三薪，补充医疗保险，生日福利",信邦同安集团,储能|不需要融资|1000-9999人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·朝阳区·望京,普工,7-8K,午餐免费工作餐免费缴纳商保不穿无尘服坐班恒温车间车间流水线两班倒月结工资,凌阳思创,仪器仪表/工业自动化|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京,普工操作工,7-8K,"五险一金单位体检意外险加班费带薪年假
免费班车，带薪年假，补充医疗保险，采暖补贴，高温补贴，五险一金，节日福利，免费工作餐，员工旅游，定期体检",北大维信,其他行业|不需要融资|100-499人,,1年以内|中专/中技,,,,2025/02/19 10:37:03,boss
北京·朝阳区·高碑店,普工,4-7K,"做六休一缴纳社保月结工资有餐补4-8人间宿舍车间流水线
五险一金，加班补助，员工旅游，餐补，节日福利",北京天泽润,广告营销|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·通州区·马驹桥,普工,4-6K,"坐班做六休一月结工资会识字，乐于沟通
五险一金，餐补，住房补贴",中科森阳,电子/半导体/集成电路|不需要融资|20-99人,,1-3年|中专/中技,,,,2025/02/19 10:37:03,boss
北京·大兴区·庞各庄,普工/操作工,7-8K,"做六休一有空调缴纳社保工作餐免费读写26个字母住宿免费日结工资4人间宿舍不穿无尘服体检免费厂内食堂恒温车间免体检包进
带薪年假，五险一金，股票期权，定期体检，年终奖，餐补",京东物流-华北区域,快递|已上市|10000人以上,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·昌平区·阳坊,普通工人,4-5.5K,有WIFI月结工资住宿免费鱼池勤杂收鱼工人缴纳商保,北京阳坊长宝养殖场,农/林/牧/渔|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·海淀区·上地,盒马鲜生招聘搬运工/装卸工,7-8K,健康证白班夜班月结不包吃住,盒马鲜生,生活服务(O2O)|不需要融资|10000人以上,,经验不限|学历不限,,,,2025/02/19 10:37:03,boss
北京·顺义区·后沙峪,普工/操作工,5-6K,"工作餐免费4人间宿舍有空调缴纳社保不穿无尘服恒温车间车间流水线长白班月结工资读写26个字母
五险一金，底薪加提成，宿舍有空调，工龄奖，免费工装，节日福利，包吃，加班补助，全勤奖，保底工资，包住，意外险",北京华璞钻石,珠宝/首饰|未融资|500-999人,,经验不限|中专/中技,,,,2025/02/19 10:37:03,boss
北京,招普工,5-8K,"午餐免费工作餐免费住宿免费有WIFI有空调缴纳商保月结工资
交通补助，包吃，包住，有无线网，加班补助，意外险，年终奖",盛世京源,广播/影视|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·顺义区·光明,车间普工,5-7.8K,三餐免费2人间宿舍有空调水电免费缴纳社保恒温车间做六休一长白班月结工资,佳诚佳信,机械设备/机电/重工|0-20人,,1年以内|学历不限,,,,2025/02/19 10:37:01,boss
北京·海淀区·西北旺,电子厂普工,4-8K,,恒电,原材料及加工/模具|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·沙河,昌平沙河姜屯电子厂招普工 组装焊接操作工,4-6K,午餐免费做六休一电子厂招工月结工资求职普工厂内食堂车间流水线,同为环保,电子/半导体/集成电路|不需要融资|0-20人,,经验不限|初中及以下,,,,2025/02/19 10:37:01,boss
北京·顺义区·央美博艺艺术馆,普工/操作工,3.5-5K,"厂内食堂4人间宿舍做六休一月结工资
全勤奖，节日福利，包吃，加班补助，包住",北京麒芯科技有限公司,半导体/芯片|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·马池口,组装工普工 操作工 电子焊接,4-5K,做六休一缴纳社保工作餐免费不看显微镜组装工烙铁焊接组装读写26个字母长白班坐班月结工资不穿无尘服厂内食堂恒温车间月休四天,所为,电子/半导体/集成电路|未融资|20-99人,,1年以内|初中及以下,,,,2025/02/19 10:37:01,boss
北京·昌平区·沙河,佳和康华招聘普工/操作工,4-6K,"做五休二缴纳社保月结工资有餐补
餐补，零食下午茶，员工旅游，加班补助，年终奖，五险一金，节日福利，带薪年假",佳和康华,仪器仪表/工业自动化|未融资|20-99人,,经验不限|大专,,,,2025/02/19 10:37:01,boss
北京·大兴区·亦庄,普工/操作工,4-6K,"三餐免费住宿免费夫妻房有空调
全勤奖",天都盛丰,生活服务(O2O)|不需要融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·百善,医疗器械厂招聘普工,5-6K,需穿无尘服做六休一长白班坐班厂内食堂恒温车间缴纳商保,北京巡河炮物业管理,其他生活服务|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·西城区·六铺炕,普工/操作工,4.5-7K,有餐补做五休二月结工资免体检包进,米神科技,电子/半导体/集成电路|0-20人,,经验不限|大专,,,,2025/02/19 10:37:01,boss
北京·大兴区·亦庄,博益智工招聘普工/操作工,5-6K,"三餐免费4-8人间宿舍两班倒周结工资
包吃，包住，保底工资，底薪加提成，带薪年假，绩效奖金，意外险，五险一金，年终奖",博益智工,仪器仪表/工业自动化|不需要融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·大兴区·庞各庄,生产普工,6-7K,三餐免费住宿免费缴纳商保车间流水线长白班月结工资免体检包进,永成兴,建筑材料|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京,生产普工,4-7K,三餐免费住宿免费月结工资,美美康洁,其他生活服务|20-99人,,经验不限|初中及以下,,,,2025/02/19 10:37:01,boss
北京·朝阳区·太阳宫,8小时月不压工资普工,5-7.1K,4人间宿舍,成都启恒远大物流,即时配送|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·海淀区·西北旺,电子普工,5-6.7K,"2人间宿舍
五险一金",北京宝宁电子技术,电子商务|未融资|0-20人,,经验不限|中专/中技,,,,2025/02/19 10:37:01,boss
北京·通州区·马驹桥,大型真人秀活动音频普工,4-5K,"责任心强，学习力强。
五险一金",德缘益合,其他生活服务|未融资|0-20人,,经验不限|中专/中技,,,,2025/02/19 10:37:01,boss
北京·通州区·马驹桥,索莱宝招聘普工/操作工,5-6K,"不穿无尘服长白班月结工资五险一金双休
免费班车，生日福利，全勤奖，绩效奖金，节日福利，加班补助，住房补贴，年终奖，交通补助，五险一金，餐补，工龄奖，包住，通讯补贴，带薪年假，节假日加班费，定期体检，补充医疗保险，员工旅游",索莱宝,广告营销|未融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·顺义区·仁和,普工,7-8K,三餐免费住宿免费有WIFI有空调,东顺源,交通/运输|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·马池口,普工/操作工,4-5K,有餐补4人间宿舍缴纳商保恒温车间车间流水线做六休一月结工资读写26个字母,北京高汇联电子科技,电子/半导体/集成电路|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·通州区·李桥,普工/学徒工,2.5-5K,"午餐免费有餐补住宿免费有WIFI有空调缴纳社保不穿无尘服坐班做五休二周结工资体检免费免体检包进读写26个字母工作环境优越小型工作室
年终奖，全勤奖，宿舍有空调，餐补，保底工资，包住，加班补助，有无线网，底薪加提成，绩效奖金，包吃",宗作模型科技,文化艺术/娱乐|未融资|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·北七家,优秀踏实长期工作人员普工3人木工3人,5-6K,,海钰园林,工程施工|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·朝阳区·高碑店,普工/操作工/汽车改装/贴膜,4-6K,工作餐免费月结工资4人间宿舍缴纳商保,华夏坦途,其他生活服务|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·昌平区·北七家,普工,3.5-7K,"住宿免费午餐免费
保底工资，底薪加提成，节日福利，包住，全勤奖，住房补贴，包吃，有无线网，五险一金，绩效奖金，带薪年假，员工旅游，宿舍有空调，交通补助，通讯补贴，团建聚餐，免费工装，年终奖，零食下午茶，夜班补助",北京润泽康源科技,其他生活服务|未融资|20-99人,,经验不限|学历不限,,,,2025/02/19 10:37:01,boss
北京·丰台区·云岗,鸿泰元丰招聘电工,4-7K,包吃住,鸿泰元丰,工程施工|0-20人,,经验不限|中专/中技,,,,2025/02/19 10:37:01,boss
北京·平谷区·兴谷,普工/操作工,5-6K,需穿无尘服长白班2人间宿舍工作餐免费周结工资缴纳商保,北京原麦山丘食品...,互联网|未融资|100-499人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
北京·大兴区·庞各庄,库房普工,5-6K,三餐免费2人间宿舍长白班月结工资,康隆聚鑫,批发/零售|0-20人,,经验不限|学历不限,,,,2025/02/19 10:37:02,boss
